asin,sentence,helpful,main_image_url,product_title
0553391135,"I enjoyed Ellie’s story the most, as she comes to town to meet a man with whom she has been corresponding online.",1.3,http://ecx.images-amazon.com/images/I/517vIw4438L.jpg,Love Letters: A Rose Harbor Novel
B00000F1D3,This is my husbands favorite album.,0.6,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
B00092KD9C,"It seemed almost flimsy at first, however this product is of quality construction and a good design.",1.5,http://ecx.images-amazon.com/images/I/61rxbuyb3gL.jpg,OP/TECH USA 1504372 Pro Loop Strap (Royal)
B00005JPMZ,I mean it's not bad but not good.,1.0,http://ecx.images-amazon.com/images/I/91vXjsklrTL.jpg,TMNT
0061208493,I plan on having my sister read most-,0.5,http://ecx.images-amazon.com/images/I/81rZBiijb1L.jpg,The Complete C. S. Lewis Signature Classics
B00NAPJ8DM,I was able to buy this product at a discount in exchange for my promise to post an honest review.,1.2,http://ecx.images-amazon.com/images/I/51iuUDn1osL.jpg,Building Bricks - 1000 pc Bulk Blocks w 54 Roof Pieces and Better Variety - Tight Fit with All Brands
B00000J0JF,A game for the family and for all ages.,1.2,http://ecx.images-amazon.com/images/I/A1uDIngqMDL.jpg,Ravensburger Labyrinth
B0018QROM2,I also noticed the timbre matching between this speaker and the Polk Audio TSi,1.0,http://ecx.images-amazon.com/images/I/51f7PG9wHNL.jpg,Polk Audio CS10 Center Channel Speaker Single
0375703764,"\"A quick - sort of- warning: If you are looking for an easy, relaxing read, \"\"This is not for you.\"",1.5,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B00005LEOH,I am going to get it at my local store to be sure.,0.64,http://ecx.images-amazon.com/images/I/81zDW+9iIQL.jpg,Nikon 80-200mm f/2.8D ED AF Zoom Nikkor Lens for Nikon Digital SLR Cameras
B0018QROM2,This would be amazing sound for under a TV in the living room and it serves reasonably well in a surround sound system with a subwoofer.,1.6,http://ecx.images-amazon.com/images/I/51f7PG9wHNL.jpg,Polk Audio CS10 Center Channel Speaker Single
B000P0J09C,The gunny's the real deal!,0.7,http://ecx.images-amazon.com/images/I/81trsp4+MEL.jpg,Full Metal Jacket
B001SEQPGK,Camera was delivered with problem.,1.1,http://ecx.images-amazon.com/images/I/71KLvmtcN9L.jpg,Sony Cyber-shot DSC-W290 12 MP Digital Camera with 5x Optical Zoom and Super Steady Shot Image Stabilization
B0000658L4,My grandson made many - many pizzas.,0.7,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
B0002MQGR2,Delivered on time and everything as vendor said.,0.6,http://ecx.images-amazon.com/images/I/41UpOLPeBxL.jpg,Optical Splitter
B000UJBY4W,"It took my breath away, from the vocals to the music to its message.",1.6,http://ecx.images-amazon.com/images/I/713ZDCxq8OL.jpg,The Best Of Chicago: 40th Anniversary Edition (2CD)
B00000FCBH,"\"Like \"\"brenda has a baby\"\" is\"",0.5,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B0015450T6,It creates a near white background which is easily removed using any photo editing software to create pure white backgrounds.,1.6,http://ecx.images-amazon.com/images/I/71zfnZ6by7S.jpg,"MyStudio MS20 Professional Table Top Photo Studio Lightbox Kit w/ 5000K Lighting for Product Photography, 20x20x12 inches"
0375703764,For those of you just picking this up: Don't be tempted to skip over the footnotes.,0.8,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B0007U00XK,the size/weight is not excessive or unpleasant to use.,1.1,http://ecx.images-amazon.com/images/I/413Fhglwy8L.jpg,Sigma 10-20mm f/4-5.6 EX DC HSM Lens
0671015206,"\"It does not however speak in an effective way to lower income people whom the authors describe as \"\"economic dropouts\"\" looking for information as well as inspiration.\"",1.4,http://ecx.images-amazon.com/images/I/81U+NbG9TqL.jpg,The Millionaire Next Door
B00HWWDV5A,I went to one of the Symphonica concerts in 2012 and loved every minute of it.,0.9,http://ecx.images-amazon.com/images/I/71Zv11kUTjL.jpg,Symphonica
B000W7F5SS,"Radcliffe is quite okay, I'd say 85-90% of what he says is clear.",0.9,http://ecx.images-amazon.com/images/I/91E7TPDbSfL.jpg,Harry Potter and the Order of the Phoenix (Widescreen Edition)
0470474874,"As a reference book is great, and a study book teach every detail of excel plus a bunch of tips",1.7,http://ecx.images-amazon.com/images/I/51p1iitErRL.jpg,Excel 2010 Bible
B00L5LDWP8,I believe only a Philips screwdriver is needed and it can be put together in five minutes easily.,1.4,http://ecx.images-amazon.com/images/I/81JsQZ4OynL.jpg,Radio Flyer Little Toy Wagon
0375703764,"\"The papers comprise an exploration of a cult film called \"\"The Navidson Record\"\" and its sub-films","documentaries about an ever-expanding house that's bigger on the inside than it is on the outside and which consumes the lives of anyone who enters its dark hallways or watches the tapes.\"",1.5,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg
B002ZG99CC,I purchased this for my 4 yr old twins.,0.5,http://ecx.images-amazon.com/images/I/91z8IaTWVJL.jpg,The Karate Kid
0670012335,"Just like all the other llama llama books, this one is wonderful.",1.6,http://ecx.images-amazon.com/images/I/A1ks6FGtr0L.jpg,Llama Llama Time to Share
B000HKDE7Y,Couldn't wait for it to be released.,0.8,http://ecx.images-amazon.com/images/I/71L+iEd8uZL.jpg,Struggle From The Subway To The Charts
B0001WE6U2,the only reason to buy this is if you lose the one that came with your camera.,1.2,http://ecx.images-amazon.com/images/I/71Y5cye6RCL.jpg,Nikon HB-32 Flower Type Lens Shade for 18-70mm DX Nikkor Lens
B008MPKAPK,"Really happy that I chose Kaito base on the reviews, this really is a great product.",1.6,http://ecx.images-amazon.com/images/I/416jPdinWNL.jpg,"Kaito KA321 Pocket-size 10-Band AM/FM Shortwave Radio with DSP (Digital Signal Processing), Black"
B004OS8J98,The DC based Imaginext toy line from Fisher-Price has a number of separate vehicles and action figures sold separately to compliment and expand on this product too.,1.5,http://ecx.images-amazon.com/images/I/81R0TRuy0qL.jpg,Fisher-Price Imaginext DC Super Friends Batcave
B0000658L4,"A friend gave this to my daughter five years ago, when she was three.",0.7,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
B000002IAO,"it's era, but Iron Butterfly have a great sense of melody that frequently saves them from sounding dated.",1.0,http://ecx.images-amazon.com/images/I/91erUc5swfL.jpg,In-A-Gadda-Da-Vida
B00VG90446,"Additionally, the sound quality really isn't all that great.",1.8,http://ecx.images-amazon.com/images/I/51O-QlBLZKL.jpg,"Flexion KS-902 Kinetic Series Wireless Bluetooth Noise Cancelling Headphones with Microphone, Black"
B00005JPMZ,"\"It resembles the style of the 2003 series and at the same time it is a loose sequel to the \"\"live\"\" 90's film trilogy.\"",1.7,http://ecx.images-amazon.com/images/I/91vXjsklrTL.jpg,TMNT
B00IUAAJY4,I teach a combined 3rd/ 4th grade class and decided to have each student do one page in the book.,1.3,http://ecx.images-amazon.com/images/I/71t-qhB6ugL.jpg,Lulu Jr. Illustory -  Craft Kit
0064430170,Now my son gets to enjoy it too.,1.3,http://ecx.images-amazon.com/images/I/61ZfoLVFjnL.jpg,Goodnight Moon
0671015206,"Well written, easily understood and appropriate examples.",1.6,http://ecx.images-amazon.com/images/I/81U+NbG9TqL.jpg,The Millionaire Next Door
B000L212HC,They will do whatever it takes and you will be surprised as to how far they will go and who comes out on top in the end.,1.2,http://ecx.images-amazon.com/images/I/51whgYqON5L.jpg,The Prestige [Blu-ray]
1402241372,"So I chugged along through the rest, but I remained tepid about the book throughout.",1.1,http://ecx.images-amazon.com/images/I/51gMZ3KRoML.jpg,The Winter Sea
B00002E220,It has great scenery and music and I always love Barbara Hershey.,1.8,http://ecx.images-amazon.com/images/I/51PCHRAW0PL.jpg,Last of the Dogmen
0375703764,In a nutshell it concerns an old blind man who dies at the beginning of the book,1.2,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B00LOY6G1I,"I gave it 3 stars because when the bubble works, its actually cool, but getting it to work can be tricky.",1.5,http://ecx.images-amazon.com/images/I/81TkoSkhO-L.jpg,"Juggle Bubbles Activity Kit, Bubble Maker, Bubble Game, SEEN ON TV"
0618871713,"I didn't even know what a graphic novel was until recently, and only read this at the urging of a good friend and avid reader who is very selective in the books she recommends.",0.9,http://ecx.images-amazon.com/images/I/81VWEyQoyrL.jpg,Fun Home: A Family Tragicomic
B000002KB8,"As for the searchers of Sabbath's ''definitive album'', they are just a little better, if at all.",1.4,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B00KU9LQUO,Tokyo is focused on the dice rolling mechanic and the cards that allowed you to enhance the results of the dice.,1.4,http://ecx.images-amazon.com/images/I/91H7TLUPYqL.jpg,King of New York Board Game
B00007JZVB,"It's not too strenuous, but the teaching is good.",1.3,http://ecx.images-amazon.com/images/I/512RAZNR06L.jpg,Discover Bellydance
0761165975,Bad:Not useful for a destination wedding or non traditional weddings,1.5,http://ecx.images-amazon.com/images/I/91iUIyXPTwL.jpg,The Wedding Planner & Organizer
0375703764,"that race down the spine get, the more he gets drawn into it, the further  he gets from reality until he loses his mind.",0.8,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B0011000R6,It fits smoothly and snugly into the hotshoe mount.,1.5,http://ecx.images-amazon.com/images/I/61focgrGi7L.jpg,Gary Fong Puffer Pop Up flash Diffuser for DSLR's CANON / NIKON / OLYMPUS / PENTAX (excluding Canon T4i)
B00VG90446,"All in all, the Flexion is the best I have had yet, and I have had more than a few.",1.4,http://ecx.images-amazon.com/images/I/51O-QlBLZKL.jpg,"Flexion KS-902 Kinetic Series Wireless Bluetooth Noise Cancelling Headphones with Microphone, Black"
B008MPKAPK,"Excellent volume, short wave bands don't come through as well in mountain areas.",1.6,http://ecx.images-amazon.com/images/I/416jPdinWNL.jpg,"Kaito KA321 Pocket-size 10-Band AM/FM Shortwave Radio with DSP (Digital Signal Processing), Black"
B00LOY6G1I,My 8 year-old son was very upset and disappointed.,0.7,http://ecx.images-amazon.com/images/I/81TkoSkhO-L.jpg,"Juggle Bubbles Activity Kit, Bubble Maker, Bubble Game, SEEN ON TV"
B00081NX5U,"Received fast, sound is great for the size.",1.7,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
B00002E220,"\"As \"\"Doc\"\" observers at one point","\"\"It's disconcerting to realize that the smartest member of our expedition is a dog!\"\"\"",0.9,http://ecx.images-amazon.com/images/I/51PCHRAW0PL.jpg
B00000FCBH,Real lyrics...listen to it.,1.4,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B000ME8R22,The battery holds its charge well.,1.7,http://ecx.images-amazon.com/images/I/61qnkfCQ2kL.jpg,"Sony NPFH50 H Series Actiforce Hybrid InfoLithium Battery for most Sony Camcorders and A230, A330 and A380 Alpha DSLR (Retail Packaging)"
0375703764,"Some people argue that  there's meaningless footnotes and praise for this book derives from the  format of the text -- well, if you're only looking at the surface, you  won't enjoy it -- be shaken by it? -- as fully as you should.",1.2,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B008MPKAPK,Fit and finish are excellent.,1.1,http://ecx.images-amazon.com/images/I/416jPdinWNL.jpg,"Kaito KA321 Pocket-size 10-Band AM/FM Shortwave Radio with DSP (Digital Signal Processing), Black"
B000002KB8,Five mind blowing stars and obviously one of the greatest metal/rock albums ever created.,1.8,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B0015450T6,"< wish that had been clear in the written instructions, but no big deal!",1.4,http://ecx.images-amazon.com/images/I/71zfnZ6by7S.jpg,"MyStudio MS20 Professional Table Top Photo Studio Lightbox Kit w/ 5000K Lighting for Product Photography, 20x20x12 inches"
B006KD37TC,"I love the bright red color, I can see the clock numbers across the room, very eye appealing.",1.5,http://ecx.images-amazon.com/images/I/81H1IKyze2L.jpg,Wi-Fi Music Player with 3.5-Inch Color Display
0671015206,"I don't get this,  250hr/year",0.2,http://ecx.images-amazon.com/images/I/81U+NbG9TqL.jpg,The Millionaire Next Door
B0006ZOV5E,yet(because fans aren't as important as clearchannel radios),0.3,http://ecx.images-amazon.com/images/I/81nhkvWohBL.jpg,Room Noises
B0000658L4,But wish storeage box had a lid.,1.1,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
B003T90WY8,I did not want my glasses tilted on the one side.,1.0,http://ecx.images-amazon.com/images/I/51wvXmZmxzL.jpg,EARBUDi Clips on and off Your Apple iPod® or iPhone® Earbuds - and Turns Them Into Sport Headphones. Soft Over-The-Ear Design with Earbud Tilt & Rotation - Provide a Custom Comfortable Fit.
B0011000R6,Other than this it works fine.,1.1,http://ecx.images-amazon.com/images/I/61focgrGi7L.jpg,Gary Fong Puffer Pop Up flash Diffuser for DSLR's CANON / NIKON / OLYMPUS / PENTAX (excluding Canon T4i)
0375703764,This book consumed my life fore the 6 weeks it took me to read it.,1.0,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B000UJBY4W,"There is no fooling people unless you don't look at the CD cover (this is on the outside on the plastic packaging, regarding what this oompilation",1.1,http://ecx.images-amazon.com/images/I/713ZDCxq8OL.jpg,The Best Of Chicago: 40th Anniversary Edition (2CD)
0375703764,"Similarly, in the movies one always wonders why the victim just doesn't get out",0.5,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B00081NX5U,One of them started making noises after a monrh,1.7,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
B000002KB8,"It started with the THUNDER and the CHURCH BELLS, I was  mesmerized.",1.0,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B008MPKAPK,"..and if that is the case, I'm a lucky  guy, but it really was the best twenty bucks",0.7,http://ecx.images-amazon.com/images/I/416jPdinWNL.jpg,"Kaito KA321 Pocket-size 10-Band AM/FM Shortwave Radio with DSP (Digital Signal Processing), Black"
B000002KB8,it's great music after all.,1.3,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B0000658L4,if your child (or you) want a toy pizza,0.6,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
B003T90WY8,They don't have a decent headset for their Nano 6 I-Pod.,1.3,http://ecx.images-amazon.com/images/I/51wvXmZmxzL.jpg,EARBUDi Clips on and off Your Apple iPod® or iPhone® Earbuds - and Turns Them Into Sport Headphones. Soft Over-The-Ear Design with Earbud Tilt & Rotation - Provide a Custom Comfortable Fit.
0553386697,A very good resource for parents.,1.9,http://ecx.images-amazon.com/images/I/81HdbmkRjWL.jpg,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind
B00000J0JF,fair value as got it on offer.,1.1,http://ecx.images-amazon.com/images/I/A1uDIngqMDL.jpg,Ravensburger Labyrinth
0783225482,Great addition for any movie collection!!!!!,1.3,http://ecx.images-amazon.com/images/I/51z2Gp2lmDL.jpg,Death Becomes Her
014312417X,but I would rather like some more inspiring at the same time some entertaining stories of masters,0.8,http://ecx.images-amazon.com/images/I/71LRdEUOmNL.jpg,Mastery
B002JSM3KQ,"Also, the Community Chest cards are really just another shade of orange, not yellow as they once were, so it is even harder to distinguish which pile is which when they are sitting on the board.",1.6,http://ecx.images-amazon.com/images/I/915NTWZUtjL.jpg,Monopoly Board Game The Classic Edition
B00C30FCUI,and i end up losing expensive ones.,0.4,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
1402241372,"When I realized this was more romance than history, I almost stopped reading it.",1.6,http://ecx.images-amazon.com/images/I/51gMZ3KRoML.jpg,The Winter Sea
B000002GJH,"\"Yes its true that these songs aren't \"\"slick\"\" but dont get the impression that they're not brilliantly arranged and produced.\"",1.2,http://ecx.images-amazon.com/images/I/518P0F1DBGL.jpg,Temple Of The Dog
B00C30FCUI,They are nearly impossible to get tangled.,1.3,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B0015450T6,I would not recommend this.,1.0,http://ecx.images-amazon.com/images/I/71zfnZ6by7S.jpg,"MyStudio MS20 Professional Table Top Photo Studio Lightbox Kit w/ 5000K Lighting for Product Photography, 20x20x12 inches"
0451232852,I was immediately pulled back into the lives of characters I cared for despite my obvious American bias.,1.0,http://ecx.images-amazon.com/images/I/91zB9X+jhwL.jpg,Fall of Giants: Book One of the Century Trilogy
1402241372,"Regardless, I am happy that I read this novel.",1.3,http://ecx.images-amazon.com/images/I/51gMZ3KRoML.jpg,The Winter Sea
0671015206,I AM RECOMMENDING THE BOOK TO ALL I KNOW.,1.7,http://ecx.images-amazon.com/images/I/81U+NbG9TqL.jpg,The Millionaire Next Door
B00004UFOO,"Definitely a pleasing purchase, very cheap but also unexpectedly good quality.",1.8,http://ecx.images-amazon.com/images/I/71RDhTiphOL.jpg,Crayola Washable Super Tips
B00DPKQ60A,because i didnt know this girl could sing,0.9,http://ecx.images-amazon.com/images/I/61gkJ76UizL.jpg,Yours Truly
B00000JZC7,"\"\"\"Fool Of Me\"\"...one of the most beautiful","sincere songs I've ever heard...\"",1.5,http://ecx.images-amazon.com/images/I/715b4h8ZKJL.jpg
B00000F1D3,I cant believe that's a hit!,0.7,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
B00081NX5U,Good sound for inexpensive outdoor speaker,1.8,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
0375703764,i have read the book four times now and every time i take something new away form the book.,1.2,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B00B0DWB62,Do not pay for next day delivery at £7.99 as it doesn't even arrive!!!,0.9,http://ecx.images-amazon.com/images/I/817iEr0lwtL.jpg,Little Tikes Anchors Away Pirate Ship Water Play Table
B0019FHM9M,"Worth it, as they do the job.",1.2,http://ecx.images-amazon.com/images/I/41naHn2FKWL.jpg,"Lowpricenice MH2001 5-in-1 Wireless Headphones w/Microphone Emitter & FM Radio - Listen to Music, Chat Online & Monitor Other Rooms!"
0790731886,The chemistry between Dudley Moore and Sir John Gielgud is superb.,1.2,http://ecx.images-amazon.com/images/I/91I6ZbfQl3L.jpg,Arthur (1981)
B001NESPHC,and I wanted to know who this artist is...,0.2,http://ecx.images-amazon.com/images/I/51czCy04hwL.jpg,My One And Only Thrill
B00000F1D3,"This album, which is dedicated to gay men (by the way [ said Cher ]) hit the charts and stayed at number one for months!!!",1.4,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
B0015450T6,"I was able to get excellent shots with the one light that came with it, but there may be times when I would like my product to be completely floating in white with absolutely no shadows.",1.6,http://ecx.images-amazon.com/images/I/71zfnZ6by7S.jpg,"MyStudio MS20 Professional Table Top Photo Studio Lightbox Kit w/ 5000K Lighting for Product Photography, 20x20x12 inches"
B0019FHM9M,It works good in close range only not far range but,1.5,http://ecx.images-amazon.com/images/I/41naHn2FKWL.jpg,"Lowpricenice MH2001 5-in-1 Wireless Headphones w/Microphone Emitter & FM Radio - Listen to Music, Chat Online & Monitor Other Rooms!"
B008FSCNTK,"Yes, label on LP confirms",0.5,http://ecx.images-amazon.com/images/I/71YGLpEIXnL.jpg,Glad Rag Doll
B00C30FCUI,Incredible how its simplicity and cost goes under the sound quality you get.,1.7,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B00000F1D3,"The title track is her best record in ages, and 'All or Nothing'follows very closely in this vein.",1.4,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
B003IHUHGE,I've had these headphones for a month and a half,0.7,http://ecx.images-amazon.com/images/I/71mkuO-o5nL.jpg,Bowers & Wilkins P5 Headphones - Black
0790731886,so many good lines/situations!,1.4,http://ecx.images-amazon.com/images/I/91I6ZbfQl3L.jpg,Arthur (1981)
B00081NX5U,Scared to turn up the volume not wanting them to fall and damage them...,1.0,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
0783225482,I enjoyed it when I was a kid and enjoy just as much now!,1.3,http://ecx.images-amazon.com/images/I/51z2Gp2lmDL.jpg,Death Becomes Her
B0018QROM2,The first Polk Audio items I bought were just so-so (small satellite speakers),1.1,http://ecx.images-amazon.com/images/I/51f7PG9wHNL.jpg,Polk Audio CS10 Center Channel Speaker Single
B000002KB8,has only John Bonham of Zeppelin and maybe Keith Moon of the Who as competition as the best Drummer in metal/rock)Wasp/Behind the Wall of sleep/,0.7,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
B0015450T6,Very easy to use and good pictures!,1.5,http://ecx.images-amazon.com/images/I/71zfnZ6by7S.jpg,"MyStudio MS20 Professional Table Top Photo Studio Lightbox Kit w/ 5000K Lighting for Product Photography, 20x20x12 inches"
B00000J0JF,on doing this you then turn over your next treasure card and wait your turn to again move the maze,1.1,http://ecx.images-amazon.com/images/I/A1uDIngqMDL.jpg,Ravensburger Labyrinth
B0000658L4,so good for imaginary play ...made very well and would recomend this toy !,1.5,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
B00C30FCUI,If you need a real mic you should probably be buying a dedicated mic.,1.6,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B00002E220,"As our two modern heroes begin to assimilate into the hostile tribe of Cheyenne, they learn a respect for the people and their culture that engenders in them a need to protect it.",1.4,http://ecx.images-amazon.com/images/I/51PCHRAW0PL.jpg,Last of the Dogmen
B00C30FCUI,"I had failed to mention that because of the deal I found on these headphones at the time of purchase, I decided to get two pairs in case",0.8,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B0042FDCMM,She will get you moving and keep motivating you,1.6,http://ecx.images-amazon.com/images/I/41Czp+U5ZLL.jpg,Jane Fonda: Prime Time – Walkout
B004UKNJCM,"\"There's more: Some areas of the castle have to be \"\"unlocked.\"",1.0,http://ecx.images-amazon.com/images/I/915552Zm8zL.jpg,Whoowasit? Award-Winning Board Game Electronics
B00000FCBH,My favourite song from 2pacalypse Now11.,0.7,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B001SLFN7U,I would recommend this to family & friends.,1.5,http://ecx.images-amazon.com/images/I/61wRWjOX++L.jpg,CowboyStudio Hand Painted Blue and Purple Muslin Photo Backdrop
B0002COTDA,We know who did it from the beginning,0.5,http://ecx.images-amazon.com/images/I/41pYBQGm-2L.jpg,Columbo - The Complete First Season
